runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
120,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,76.0,83.5,84.5,0,1,0,0,1,0,1953.0,1.0
92,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,54.0,33.0,44.95,1,1,1,0,0,0,2010.0,1.0
113,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78.0,78.0,74.55,2,1,1,0,0,0,2009.0,1.0
79,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,75.5,75.5,72.0,1,1,0,1,0,0,2014.0,0.0
81,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,44.0,72.0,80.4,0,1,1,0,0,0,1952.0,1.0
106,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,60.0,75.0,47.1,3,1,0,0,0,1,2014.0,0.0
112,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,89.0,89.0,76.45,2,1,0,0,1,0,2000.0,1.0
72,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,64.0,64.0,65.05,3,1,0,0,0,1,2005.0,1.0
103,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,67.0,63.0,76.55,0,1,0,0,1,0,2008.0,1.0
94,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,20.0,16.0,48.65,2,1,0,0,0,1,2014.0,0.0
91,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,47.0,37.0,38.6,0,1,0,0,0,1,1981.0,1.0
120,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,53.0,63.0,49.75,0,1,1,0,0,0,2001.0,1.0
97,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0,53.5,37.3,3,1,0,0,1,0,2003.0,1.0
104,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,21.0,21.0,36.8,1,1,1,0,0,0,2014.0,0.0
104,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,80.0,80.0,3,1,0,1,0,0,2007.0,1.0
137,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,62.0,69.0,68.5,0,1,0,0,1,0,1983.0,1.0
