name,critic_score,audience_score,Y,runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
One False Move1992,96%,75%,1,105,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,79.5,49,58.7,0,1,0,1,0,0,1992,1
Dolphin Tale 22014,65%,72%,0,107,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,65,65,59.6,3,1,0,0,1,0,2014,1
Formosa Betrayed (2010),34%,55%,0,108,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,34,37.5,46.6,2,1,0,0,0,1,2010,0
Homecoming2009,0%,32%,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,24,0,19.6,1,1,0,1,0,0,2009,1
Tamara2006,32%,37%,0,98,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,24.5,33,31.35,2,1,0,0,0,1,2006,1
The Dark Tapes2017,88%,58%,1,98,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66,63,64,1,0,0,0,0,0,NA,NA
Manos: The Hands of Fate (1966),7%,19%,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,7,0,1,0,0,0,1,1966,1
Tales From the Hood (1995),47%,67%,0,97,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,47,47,38.4,0,1,1,0,0,0,1995,1
The Harvest (2015),67%,41%,1,104,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,67,67,62.75,3,1,1,0,0,0,2015,0
Bound to Vengeance2015,25%,35%,0,95,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,25,29.6,0,1,0,1,0,0,2015,0
The Dentist1996,0%,29%,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,58.5,69,29.05,0,1,0,0,1,0,1996,1
Drifter,40%,12%,1,86,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,61.5,61.5,40,1,1,0,0,0,1,2017,0
The Other Side of the Door,37%,29%,1,96,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,40.5,40.5,35.5,0,1,1,0,0,0,2016,1
The Beast Within1982,11%,32%,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23.5,59.5,35.25,0,1,0,0,0,1,1982,1
Phantoms1998,13%,27%,0,96,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,13,13,49.5,0,1,0,0,0,1,1998,1
Paranormal Activity: The Ghost Dimension2015,15%,27%,0,97,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16,45,21.1,3,1,0,0,1,0,2015,1
Splintered (2010),25%,10%,1,85,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,37.5,25,48.15,1,0,0,0,0,0,NA,NA
Leprechaun 31995,0%,33%,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,58.55,0,1,0,1,0,0,1995,1
Stephen King's It1990,56%,63%,0,193,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,48,63,57.75,0,1,0,0,1,0,1990,1
Cujo (1983),60%,45%,1,94,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,60,60,54.15,0,1,0,1,0,0,1983,1
Shallow Ground (2004),67%,33%,1,97,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,33.5,33.5,55.6,0,1,1,0,0,0,2004,1
Hollow (2012),21%,67%,0,95,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,21,32.05,2,1,0,0,1,0,2012,0
The Guardian (1990),22%,32%,0,92,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,75,50,52.2,0,1,1,0,0,0,1990,1
Pet Sematary1989,50%,59%,0,103,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25,36,42.85,0,1,1,0,0,0,1989,1
The Den2014,78%,52%,1,81,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,78,78,46.35,1,1,1,0,0,0,2014,0
Candyman: Farewell to the Flesh1994,25%,30%,0,94,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,71,25,49.8,0,1,0,1,0,0,1994,1
Last Shift,100%,50%,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,72,72,70.4,0,1,0,0,1,0,2015,1
The Girl In The Photographs2016,15%,21%,0,95,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,15,15,40.9,0,1,1,0,0,0,2016,0
The Burrowers2008,73%,33%,1,96,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,71,71,51.4,0,1,0,0,1,0,2008,1
Marrowbone,46%,56%,0,110,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,82,82,71,3,1,1,0,0,0,2018,0
The Taking Of Deborah Logan (2014),88%,48%,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,38,63,61.5,2,1,0,0,1,0,2014,0
I Can See You (2008),100%,43%,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,56,84.15,1,1,0,0,0,1,2008,1
Gut2012,50%,25%,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,45,45,43.5,1,1,0,0,1,0,2012,0
The Breed (2006),15%,29%,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15,21,41.7,0,1,1,0,0,0,2006,1
Ava's Possessions,64%,40%,1,89,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,53.5,53.5,70.1,0,1,1,0,0,0,2016,0
Urban Legend1998,19%,37%,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,14,19,37.55,1,1,0,0,1,0,1998,1
Uncle Sam (1997),56%,22%,1,89,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,53.5,58,61.3,2,1,0,1,0,0,1997,1
Halloween 4: The Return of Michael Myers,27%,53%,0,88,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,33,18,51.2,2,1,0,0,0,1,1988,1
Wrong Turn 2: Dead End (2007),78%,44%,1,93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,53.5,13,48.25,0,1,0,1,0,0,2007,1
April Fool's Day1986,38%,47%,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,83,57,44.6,0,1,1,0,0,0,1986,1
Predator,80%,87%,0,107,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,34.5,37,58.7,0,1,0,1,0,0,1987,1
Urban Legends: Bloody Mary2005,40%,28%,1,98,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25,75,43.35,0,1,0,1,0,0,2005,1
Found Footage 3D (2016),100%,49%,1,100,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,100,100,100,0,0,0,0,0,0,NA,NA
Dracula1973,60%,41%,1,105,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,86,81,70.7,0,1,0,0,0,1,1973,1
6 Souls2013,4%,45%,0,112,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,15.5,43,57.85,0,1,1,0,0,0,2013,0
The Lodger2009,21%,29%,0,96,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,21,21,60.5,1,1,0,0,0,1,2009,0
Summer Camp,50%,38%,1,81,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,66.5,66.5,45.5,0,1,1,0,0,0,2016,0
Beloved1998,78%,71%,1,172,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,88,56,64.9,2,1,0,0,1,0,1998,1
Eden Lake2008,78%,66%,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,61,61,74.05,1,1,0,0,1,0,2008,1
Godzilla1998,16%,28%,0,98,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,40,48,46.7,0,1,1,0,0,0,1998,1
Maniac Cop1988,46%,38%,1,92,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,53.5,58,66,0,1,1,0,0,0,1988,1
Dig Two Graves,82%,39%,1,85,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82,82,62.7,1,1,1,0,0,0,2017,0
The Theatre Bizarre2012,43%,35%,1,114,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64.5,40.5,49.5,1,1,0,0,0,1,2012,0
Father's Day (2012),78%,63%,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,58,78,1,1,0,0,0,1,2012,1
Here Comes the Devil2013,42%,30%,1,98,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,50,50,42,3,1,0,0,0,1,2013,0
Sleepaway Camp III: Teenage Wasteland (1989),14%,29%,0,80,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,41,26,31.6,0,1,0,0,0,1,1989,1
The Tooth Fairy (2006),22%,34%,0,89,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,52.5,19.55,0,1,0,1,0,0,2006,0
Dead Time Stories (1986),0%,21%,0,93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17.7,0,1,0,0,1,0,1986,1
Hostel: Part III2011,67%,19%,1,88,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,64,46.5,51.8,0,0,0,0,0,0,NA,NA
The Slumber Party Massacre1982,36%,45%,0,84,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,34.5,80,33.1,0,1,0,0,1,0,1982,1
Monster Party (2018),83%,61%,1,89,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61.5,61.5,58.45,0,1,0,0,1,0,2018,0
